Job	Machine	Début	Fin
6	0	0	37
2	1	0	91
3	4	0	99
7	2	0	31
1	3	0	69
8	0	37	113
9	8	0	64
3	6	99	108
2	5	91	101
2	9	101	146
7	6	137	225
6	8	64	153
2	7	193	205
5	2	31	115
6	9	153	185
7	1	91	137
5	0	115	162
8	2	115	200
3	7	108	193
4	7	236	285
4	5	101	162
9	1	137	222
0	0	162	191
1	4	99	174
6	5	185	206
7	7	31	67
2	0	205	290
7	8	225	244
8	9	200	211
3	9	211	233
1	5	206	252
6	7	206	236
7	5	252	326
9	9	233	309
8	6	225	265
0	4	191	240
9	6	309	316
4	2	200	214
6	2	236	249
4	3	69	95
3	8	244	296
2	2	290	364
0	1	240	318
5	3	162	257
7	9	326	374
3	0	296	367
8	3	265	341
5	8	296	344
9	3	341	393
3	2	367	462
0	7	318	374
1	6	316	362
9	0	393	406
2	3	393	432
4	4	285	354
8	4	354	380
0	5	374	385
4	1	354	376
5	1	344	346
0	6	385	447
4	9	446	518
5	9	374	446
6	1	376	422
5	6	447	512
0	2	462	471
1	0	406	449
2	8	432	522
8	7	380	469
6	3	432	493
8	5	469	520
2	6	522	611
1	1	449	477
0	8	522	566
9	4	406	496
3	3	493	591
0	3	591	627
4	0	518	524
4	8	566	587
0	9	627	648
5	4	512	518
1	2	477	567
9	5	520	567
8	1	520	589
7	4	518	550
1	7	567	639
8	8	589	663
3	1	591	672
6	6	611	643
4	6	643	696
1	9	648	659
5	5	567	619
3	5	672	715
5	7	639	664
9	2	567	628
9	7	664	709
2	4	611	644
7	0	550	636
6	4	644	699
1	8	663	693
7	3	636	715
