Job	Machine	Début	Fin
3	1	0	81
6	9	485	517
7	8	55	74
4	8	19	40
8	9	43	54
7	7	19	55
6	5	316	337
5	0	213	260
9	4	0	90
7	8	55	74
8	9	43	54
8	4	116	142
1	6	391	437
1	0	47	90
7	9	269	317
4	2	40	54
8	4	116	142
1	1	230	258
5	1	260	262
2	2	54	128
4	1	398	420
4	3	323	349
8	5	142	193
5	4	142	148
3	6	560	569
7	1	142	188
7	2	219	250
5	6	148	213
3	9	396	418
9	8	90	154
8	6	213	253
0	7	278	334
6	0	90	127
7	2	219	250
4	5	193	254
1	9	258	269
5	0	213	260
2	3	385	424
1	4	155	230
6	6	253	285
1	1	230	258
9	0	518	531
5	1	260	262
8	1	262	331
2	9	207	252
2	5	509	519
9	6	384	391
5	5	389	441
0	8	198	242
4	4	254	323
0	8	198	242
0	3	349	385
1	9	258	269
6	5	316	337
9	5	337	384
3	7	144	229
2	7	264	276
3	0	273	344
2	6	292	381
6	1	337	383
7	9	269	317
3	8	344	396
5	9	317	389
8	0	344	420
0	7	278	334
4	3	323	349
4	7	349	398
0	3	349	385
5	5	389	441
2	3	385	424
9	6	384	391
4	1	398	420
1	6	391	437
6	2	383	396
3	9	396	418
2	0	424	509
1	5	441	487
4	6	437	490
7	4	323	355
3	4	418	517
0	1	420	498
6	8	396	485
5	7	441	466
0	6	498	560
2	5	509	519
9	2	457	518
8	3	424	500
1	8	487	517
9	2	457	518
2	4	519	552
6	9	485	517
3	6	560	569
7	3	500	579
8	8	517	591
9	0	518	531
6	4	552	607
3	5	569	612
0	0	560	589
9	7	531	576
0	9	589	610
